0:0:0:0:0:0:0:1 - - [09/Mar/2025:01:21:53 +0530] "GET /Hospital_Management_System/img/doc2.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:01:21:53 +0530] "GET /Hospital_Management_System/img/doc3.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:01:21:53 +0530] "GET /Hospital_Management_System/img/doc4.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:01:21:53 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 6787
0:0:0:0:0:0:0:1 - - [09/Mar/2025:01:21:53 +0530] "GET /Hospital_Management_System/img/doct.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:01:21:53 +0530] "GET /Hospital_Management_System/img/doc1.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:01:21:53 +0530] "GET /Hospital_Management_System/img/doc2.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:01:21:53 +0530] "GET /Hospital_Management_System/img/doc3.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:01:21:53 +0530] "GET /Hospital_Management_System/img/doc4.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:01:24:24 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 9029
0:0:0:0:0:0:0:1 - - [09/Mar/2025:01:24:24 +0530] "GET /Hospital_Management_System/img/home6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2025:01:24:24 +0530] "GET /Hospital_Management_System/img/doct.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:01:24:24 +0530] "GET /Hospital_Management_System/img/doc1.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:01:24:24 +0530] "GET /Hospital_Management_System/img/doc2.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:01:24:24 +0530] "GET /Hospital_Management_System/img/doc3.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:01:24:24 +0530] "GET /Hospital_Management_System/img/doc4.jpg HTTP/1.1" 404 799
